Period,Country,Area,Type,Fatal (Y/N),Time
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Morning
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1957-1976,AUSTRALIA,Torres Strait,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Western Australia,Unspecified,Y,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Queensland,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Afternoon
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Evening
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Afternoon
1957-1976,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Evening
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unspecified,N,Evening
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Queensland,Provoked,N,Morning
1957-1976,AUSTRALIA,Tasmania,Unprovoked,N,Evening
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Morning
1957-1976,AUSTRALIA,Northern Territory,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Tasmania,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Morning
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Queensland,Provoked,N,Afternoon
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unspecified,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Queensland,Provoked,Y,Unspecified
1957-1976,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Evening
1997-2016,AUSTRALIA,Victoria,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Morning
1957-1976,AUSTRALIA,South Australia,Provoked,N,Morning
1957-1976,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Morning
1957-1976,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1997-2016,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,South Australia,Provoked,N,Afternoon
1997-2016,AUSTRALIA,South Australia,Provoked,N,Afternoon
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,Northern Territory,Provoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,Y,Evening
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Evening
1997-2016,AUSTRALIA,South Australia,Unprovoked,Y,Afternoon
1957-1976,AUSTRALIA,Unspecified,Unprovoked,Y,Unspecified
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
