Period,Country,Area,Type,Fatal (Y/N),Time
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Morning
1937-1956,AUSTRALIA,South Australia,Provoked,Unknown,Unspecified
1937-1956,AUSTRALIA,New South Wales,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1937-1956,AUSTRALIA,New South Wales,Unspecified,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1937-1956,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1937-1956,AUSTRALIA,Western Australia,Unspecified,Unknown,Unspecified
1997-2016,AUSTRALIA,New South Wales,Unprovoked,N,Morning
1937-1956,AUSTRALIA,Western Australia,Unprovoked,Y,Unspecified
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Morning
1937-1956,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Torres Strait,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Evening
1957-1976,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Morning
1937-1956,AUSTRALIA,Victoria,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Queensland,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1937-1956,AUSTRALIA,Victoria,Unspecified,Y,Unspecified
1997-2016,AUSTRALIA,Queensland,Unspecified,Y,Morning
1937-1956,AUSTRALIA,Queensland,Unprovoked,N,Afternoon
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1937-1956,AUSTRALIA,Tasmania,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,Northern Territory,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Tasmania,Unprovoked,N,Afternoon
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Western Australia,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1957-1976,AUSTRALIA,South Australia,Unprovoked,N,Evening
1937-1956,AUSTRALIA,Queensland,Provoked,N,Unspecified
1977-1996,AUSTRALIA,Victoria,Unprovoked,Unknown,Unspecified
1997-2016,AUSTRALIA,Queensland,Unprovoked,N,Evening
1977-1996,AUSTRALIA,Queensland,Provoked,N,Afternoon
1997-2016,AUSTRALIA,New South Wales,Unspecified,Y,Afternoon
1977-1996,AUSTRALIA,South Australia,Unprovoked,Y,Evening
1937-1956,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1977-1996,AUSTRALIA,Western Australia,Provoked,N,Unspecified
1937-1956,AUSTRALIA,Queensland,Provoked,N,Unspecified
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1937-1956,AUSTRALIA,South Australia,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Queensland,Provoked,N,Unspecified
1937-1956,AUSTRALIA,Torres Strait,Unprovoked,Y,Unspecified
1937-1956,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1937-1956,AUSTRALIA,Queensland,Unprovoked,Y,Afternoon
1937-1956,AUSTRALIA,South Australia,Provoked,N,Unspecified
1937-1956,AUSTRALIA,South Australia,Provoked,N,Evening
1937-1956,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Afternoon
1937-1956,AUSTRALIA,New South Wales,Provoked,N,Unspecified
1937-1956,AUSTRALIA,Northern Territory,Unprovoked,N,Unspecified
1957-1976,AUSTRALIA,New South Wales,Unprovoked,N,Unspecified
1937-1956,AUSTRALIA,Northern Territory,Unprovoked,N,Unspecified
1997-2016,AUSTRALIA,Victoria,Unprovoked,N,Afternoon
1997-2016,AUSTRALIA,Western Australia,Unprovoked,N,Afternoon
1977-1996,AUSTRALIA,New South Wales,Unprovoked,N,Morning
